epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_specificity,train_f1,train_fnr,train_fpr,train_npv,train_tp,train_fp,train_tn,train_fn,train_loss_image,train_loss_hard_negative,train_loss_ranking,train_loss_auxiliary,train_skipped_updates,val_threshold,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_specificity,val_f1,val_fnr,val_fpr,val_npv,val_tp,val_fp,val_tn,val_fn,val_recall_constraint_met,val_display_threshold,val_display_loss,val_display_accuracy,val_display_balanced_accuracy,val_display_precision,val_display_recall,val_display_specificity,val_display_f1,val_display_fnr,val_display_fpr,val_display_npv,val_display_tp,val_display_fp,val_display_tn,val_display_fn
1,0.00019945766764145907,1.3310522400278082,0.5438230383973289,0.5438230383973289,0.5229357798165137,0.9991652754590985,0.08848080133555926,0.6865500430169199,0.0008347245409015025,0.9115191986644408,0.9906542056074766,1197,1092,106,1,0.5902840618746905,0.43801828511121477,0.6343270494464244,0.7263545452652869,0,0.3,0.5346694249564041,0.725,0.7250000000000001,0.6614060258249641,0.922,0.528,0.7702589807852965,0.078,0.472,0.8712871287128713,461,236,264,39,True,0.2,0.5346694249564041,0.54,0.54,0.5209643605870021,0.994,0.086,0.6836313617606603,0.006,0.914,0.9347826086956522,497,457,43,3
2,0.00019783661247264677,0.5203493432528985,0.9632721202003339,0.9632721202003339,0.9356357927786499,0.994991652754591,0.9315525876460768,0.964401294498382,0.005008347245409015,0.06844741235392321,0.9946524064171123,1192,82,1116,6,0.13983398272915556,0.058502519574367716,0.008382220899465437,0.698337098393894,0,0.3,0.44796762819417146,0.743,0.7430000000000001,0.6758321273516642,0.934,0.552,0.7842149454240134,0.066,0.448,0.8932038834951457,467,224,276,33,True,0.2,0.44796762819417146,0.608,0.608,0.5615034168564921,0.986,0.23,0.7155297532656024,0.014,0.77,0.9426229508196722,493,385,115,7
3,0.00019515459511322021,0.43220066029161763,0.9841402337228714,0.9841402337228715,0.9746317512274959,0.9941569282136895,0.9741235392320534,0.9842975206611569,0.005843071786310518,0.02587646076794658,0.9940374787052811,1191,31,1167,7,0.09280567388602211,0.021465663788824627,0.0017443929211188338,0.6564521132805112,0,0.3,0.426243329257727,0.772,0.772,0.7105263157894737,0.918,0.626,0.8010471204188483,0.082,0.374,0.884180790960452,459,187,313,41,True,0.2,0.426243329257727,0.681,0.681,0.6121437422552665,0.988,0.374,0.75592960979342,0.012,0.626,0.9689119170984456,494,313,187,6
4,0.00019144100030661746,0.3733625409997166,0.9929048414023373,0.9929048414023373,0.9876135425268373,0.998330550918197,0.9874791318864775,0.9929431299294313,0.001669449081803005,0.012520868113522538,0.9983122362869198,1196,15,1183,2,0.06886717210677709,0.011986555211624606,0.0015060093645659432,0.596251175678234,0,0.4,0.333068457595579,0.845,0.845,0.8042328042328042,0.912,0.778,0.8547328959700095,0.088,0.222,0.8983833718244804,456,111,389,44,True,0.2,0.333068457595579,0.727,0.727,0.6515353805073432,0.976,0.478,0.7814251401120897,0.024,0.522,0.952191235059761,488,261,239,12
5,0.00018673651497465944,0.3347646647781283,0.9958263772954925,0.9958263772954925,0.9925373134328358,0.9991652754590985,0.9924874791318865,0.9958402662229616,0.0008347245409015025,0.007512520868113523,0.9991596638655462,1197,9,1189,1,0.05149616396835133,0.004842376200799427,0.0,0.5616946228856038,0,0.3,0.35146225765146544,0.859,0.859,0.8176991150442477,0.924,0.794,0.867605633802817,0.076,0.206,0.9126436781609195,462,103,397,38,True,0.2,0.35146225765146544,0.791,0.7909999999999999,0.7136563876651982,0.972,0.61,0.8230313293818797,0.028,0.39,0.9561128526645768,486,195,305,14
6,0.0001810926824431198,0.31381422793725894,0.9962437395659433,0.9962437395659433,0.9933609958506224,0.9991652754590985,0.993322203672788,0.9962546816479401,0.0008347245409015025,0.00667779632721202,0.9991603694374476,1197,8,1190,1,0.0440629455066583,0.00592571040397768,0.0006586498330550918,0.53324752747515,0,0.34,0.30517569890258506,0.887,0.887,0.8771929824561403,0.9,0.874,0.8884501480750248,0.1,0.126,0.8973305954825462,450,63,437,50,True,0.2,0.30517569890258506,0.838,0.838,0.7743506493506493,0.954,0.722,0.8548387096774194,0.046,0.278,0.9401041666666666,477,139,361,23
7,0.00017457133772226201,0.2918216586112976,0.9987479131886478,0.9987479131886478,0.9975020815986678,1.0,0.9974958263772955,0.9987494789495623,0.0,0.0025041736227045075,1.0,1198,3,1195,0,0.03444528622624273,0.00144923569689752,0.00033808789388564274,0.5131344668853263,0,0.25,0.3500467257937333,0.844,0.8440000000000001,0.8093525179856115,0.9,0.788,0.8522727272727273,0.1,0.212,0.8873873873873874,450,106,394,50,True,0.2,0.3500467257937333,0.818,0.8180000000000001,0.7615131578947368,0.926,0.71,0.8357400722021661,0.074,0.29,0.9056122448979592,463,145,355,37
8,0.00016724393002952694,0.26205346958466086,0.9995826377295493,0.9995826377295493,1.0,0.9991652754590985,1.0,0.9995824634655532,0.0008347245409015025,0.0,0.9991659716430359,1197,0,1198,1,0.023360686050183786,0.0005884820417481015,0.0,0.47679708398045206,0,0.27,0.31565117255444186,0.866,0.866,0.8426966292134831,0.9,0.832,0.8704061895551257,0.1,0.168,0.8927038626609443,450,84,416,50,True,0.2,0.31565117255444186,0.851,0.851,0.8010291595197255,0.934,0.768,0.8624192059095107,0.066,0.232,0.920863309352518,467,116,384,33
9,0.00015919073997695482,0.2418100250782274,0.9995826377295493,0.9995826377295493,0.9991659716430359,1.0,0.9991652754590985,0.9995828118481436,0.0,0.0008347245409015025,1.0,1198,1,1197,0,0.018137790171354886,0.0005991336412218442,0.0,0.44674533874244243,0,0.18,0.3708997568050804,0.862,0.862,0.8364312267657993,0.9,0.824,0.8670520231213873,0.1,0.176,0.8917748917748918,450,88,412,50,True,0.2,0.3708997568050804,0.865,0.865,0.8489483747609943,0.888,0.842,0.8680351906158358,0.112,0.158,0.8825995807127882,444,79,421,56
10,0.00015049999999999997,0.23321707238239517,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.01512093021408445,0.00045163112893492255,0.0,0.43574065183956356,0,0.32,0.31275581916770945,0.874,0.874,0.8555133079847909,0.9,0.848,0.8771929824561403,0.1,0.152,0.8945147679324894,450,76,424,50,True,0.2,0.31275581916770945,0.841,0.841,0.7875210792580101,0.934,0.748,0.8545288197621227,0.066,0.252,0.918918918918919,467,126,374,33
