epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,305.846,0.98357,0.91862,1.46126,0.05599,0.93664,0.85593,0.92159,0.7374,0.73674,0.69094,1.34673,0.03895,3.31111e-05,3.31111e-05,0.066922
2,608.022,0.7641,0.67028,1.29249,0.03092,0.9474,0.9192,0.94571,0.80777,0.60328,0.48755,1.19298,0.02362,6.53481e-05,6.53481e-05,0.0336209
3,910.353,0.65064,0.55549,1.21087,0.0259,0.96013,0.93032,0.95828,0.83977,0.5369,0.43201,1.14457,0.0215,9.64851e-05,9.64851e-05,0.000318707
4,1212.82,0.60502,0.50433,1.19559,0.02373,0.97341,0.92542,0.96705,0.84793,0.51714,0.41807,1.14122,0.02142,9.505e-05,9.505e-05,9.505e-05
5,1515.31,0.59846,0.49668,1.18349,0.02353,0.96023,0.94014,0.96577,0.85235,0.51019,0.4077,1.13223,0.01977,9.34e-05,9.34e-05,9.34e-05
6,1817.67,0.59007,0.48387,1.17663,0.02239,0.9554,0.94602,0.96649,0.8548,0.50527,0.39478,1.12468,0.01835,9.175e-05,9.175e-05,9.175e-05
7,2120.15,0.56418,0.4739,1.15682,0.0206,0.95338,0.94331,0.96699,0.85676,0.5,0.39791,1.12478,0.01877,9.01e-05,9.01e-05,9.01e-05
8,2422.62,0.56466,0.46502,1.14922,0.02244,0.95806,0.9415,0.96731,0.86123,0.50008,0.39401,1.13237,0.02041,8.845e-05,8.845e-05,8.845e-05
9,2724.91,0.54346,0.44828,1.12439,0.02014,0.97556,0.94033,0.96221,0.86024,0.48606,0.38181,1.10554,0.01917,8.68e-05,8.68e-05,8.68e-05
10,3026.99,0.55063,0.45023,1.14081,0.01848,0.97255,0.93866,0.97025,0.8627,0.49439,0.38437,1.10665,0.01902,8.515e-05,8.515e-05,8.515e-05
11,3329.37,0.54707,0.4363,1.13306,0.01823,0.97346,0.93817,0.96933,0.86256,0.49098,0.37647,1.10164,0.01978,8.35e-05,8.35e-05,8.35e-05
12,3631.4,0.53896,0.44322,1.12537,0.01729,0.97745,0.93602,0.96999,0.86784,0.48423,0.37871,1.10593,0.01836,8.185e-05,8.185e-05,8.185e-05
13,3933.73,0.51777,0.43883,1.11275,0.01714,0.96593,0.94592,0.96931,0.8692,0.47798,0.37174,1.09803,0.01928,8.02e-05,8.02e-05,8.02e-05
14,4236.05,0.52457,0.42441,1.11673,0.01916,0.96921,0.9421,0.96979,0.87013,0.47661,0.37687,1.09853,0.01967,7.855e-05,7.855e-05,7.855e-05
15,4538.54,0.50969,0.41228,1.10711,0.01761,0.97275,0.94504,0.97079,0.87342,0.46719,0.3679,1.08807,0.01976,7.69e-05,7.69e-05,7.69e-05
16,4841.18,0.50276,0.42218,1.1007,0.01822,0.9585,0.95204,0.96791,0.87157,0.46985,0.37202,1.09451,0.01952,7.525e-05,7.525e-05,7.525e-05
17,5143.39,0.49842,0.41232,1.09071,0.01716,0.97054,0.94701,0.97075,0.87688,0.46301,0.35906,1.08987,0.01892,7.36e-05,7.36e-05,7.36e-05
18,5445.93,0.49832,0.39826,1.09634,0.01711,0.96883,0.94545,0.97042,0.87661,0.46293,0.36103,1.09396,0.01785,7.195e-05,7.195e-05,7.195e-05
19,5748.22,0.49278,0.38786,1.0945,0.01768,0.97654,0.94603,0.97063,0.87652,0.46598,0.36178,1.08505,0.01797,7.03e-05,7.03e-05,7.03e-05
20,6050.54,0.50347,0.40399,1.09511,0.01699,0.9824,0.94897,0.97158,0.87797,0.45817,0.34911,1.09246,0.01876,6.865e-05,6.865e-05,6.865e-05
21,6353.02,0.47755,0.39192,1.07391,0.01673,0.98359,0.94103,0.96298,0.8752,0.45633,0.3552,1.07939,0.01967,6.7e-05,6.7e-05,6.7e-05
22,6655.08,0.48537,0.38196,1.07926,0.01443,0.97344,0.94897,0.97192,0.87883,0.45388,0.34922,1.08292,0.01829,6.535e-05,6.535e-05,6.535e-05
23,6957.47,0.47899,0.37344,1.06714,0.01503,0.98268,0.94644,0.9718,0.88092,0.44623,0.3514,1.077,0.01853,6.37e-05,6.37e-05,6.37e-05
24,7259.88,0.47365,0.38038,1.05874,0.01499,0.97555,0.95093,0.97141,0.88146,0.445,0.34248,1.07121,0.01857,6.205e-05,6.205e-05,6.205e-05
25,7562.16,0.46178,0.38546,1.05173,0.01397,0.9786,0.94231,0.97154,0.88163,0.44902,0.34347,1.07722,0.01916,6.04e-05,6.04e-05,6.04e-05
26,7864.62,0.47734,0.36929,1.07056,0.01459,0.96904,0.94799,0.97028,0.87802,0.45804,0.34603,1.08646,0.01939,5.875e-05,5.875e-05,5.875e-05
27,8166.77,0.47457,0.37212,1.06306,0.01525,0.98166,0.94542,0.97283,0.88343,0.44782,0.33938,1.07269,0.01847,5.71e-05,5.71e-05,5.71e-05
28,8469.14,0.45648,0.34902,1.05135,0.01308,0.98147,0.94504,0.97152,0.88408,0.44262,0.33956,1.07244,0.01849,5.545e-05,5.545e-05,5.545e-05
29,8771.5,0.46275,0.36507,1.06577,0.01464,0.97558,0.95388,0.97279,0.8855,0.43728,0.33471,1.06848,0.01826,5.38e-05,5.38e-05,5.38e-05
30,9073.9,0.45914,0.36698,1.05995,0.01335,0.98469,0.94406,0.97256,0.88213,0.44189,0.3333,1.07541,0.01834,5.215e-05,5.215e-05,5.215e-05
31,9376.01,0.44535,0.35312,1.04951,0.01463,0.98068,0.94662,0.97237,0.88213,0.43876,0.33289,1.06582,0.01882,5.05e-05,5.05e-05,5.05e-05
32,9678.08,0.44189,0.34854,1.02984,0.01351,0.97696,0.95388,0.97182,0.88372,0.43922,0.33853,1.07108,0.01928,4.885e-05,4.885e-05,4.885e-05
33,9980.28,0.45139,0.35237,1.04497,0.01452,0.97282,0.94819,0.97076,0.88626,0.43979,0.34178,1.06491,0.01886,4.72e-05,4.72e-05,4.72e-05
34,10282.7,0.44818,0.35657,1.03897,0.01361,0.97582,0.94897,0.97165,0.88898,0.42642,0.33417,1.05638,0.01835,4.555e-05,4.555e-05,4.555e-05
35,10585.1,0.44789,0.35459,1.04035,0.01451,0.98187,0.94112,0.97193,0.8853,0.42753,0.337,1.05625,0.01804,4.39e-05,4.39e-05,4.39e-05
36,10887.4,0.45137,0.35962,1.04113,0.01352,0.98052,0.95191,0.97199,0.88596,0.43112,0.33212,1.05958,0.01886,4.225e-05,4.225e-05,4.225e-05
37,11189.5,0.44276,0.34889,1.04123,0.01286,0.97599,0.94701,0.97197,0.8856,0.42862,0.3344,1.0581,0.01882,4.06e-05,4.06e-05,4.06e-05
38,11491.6,0.43912,0.34869,1.03781,0.01244,0.98073,0.94873,0.97248,0.88441,0.42988,0.33077,1.06017,0.01858,3.895e-05,3.895e-05,3.895e-05
39,11793.8,0.4394,0.35957,1.03529,0.01332,0.97804,0.94799,0.9801,0.8882,0.42857,0.32859,1.05853,0.01844,3.73e-05,3.73e-05,3.73e-05
40,12095.9,0.4383,0.33907,1.04077,0.0138,0.9784,0.94799,0.98048,0.88848,0.42538,0.3235,1.05729,0.01862,3.565e-05,3.565e-05,3.565e-05
